,Actual,Predicted
4041,4100.0,6134.783837337754
5488,8400.0,5204.859647556804
3495,10400.0,8728.19152939086
4489,13400.0,13513.402873994424
8563,8700.0,7114.897656564275
8292,12300.0,9294.203676426763
6050,11100.0,9775.042208020137
7458,13500.0,13357.724147364495
5353,11500.0,12138.866240383722
80,11400.0,9374.727411533986
5098,6600.0,8478.9677728288
76,12800.0,12186.80198563519
1550,2500.0,7244.987601069163
5853,2500.0,4394.533862728649
8119,14400.0,13295.83517234084
4712,8600.0,8391.200506403435
483,12700.0,11289.67478470288
6757,11800.0,12260.609135838891
1817,13600.0,12432.836442505353
8034,3500.0,5291.536587958743
9042,8400.0,8516.109042741695
7981,7000.0,9497.083490458856
2412,9200.0,9177.983822716556
6014,5600.0,5038.599624547743
6137,3800.0,8610.099091527185
6538,10000.0,8330.234065328008
1400,10200.0,9269.191941372903
2164,19200.0,23619.304856782484
7529,9300.0,11447.199561068312
5484,6700.0,6477.999913032386
1684,17200.0,10876.214470034325
3307,4800.0,9078.495783558323
1297,16100.0,10721.86643243639
2522,10300.0,8595.260779689595
1078,12500.0,9950.000082042363
6784,13100.0,11981.457232554625
7444,11700.0,12714.938187728392
1038,12800.0,11542.277341773728
2697,10200.0,7474.303735964631
9345,12300.0,11654.29190108814
4239,4100.0,4876.841565804729
3881,7500.0,8246.651144190451
965,10400.0,11412.078070873678
4288,15900.0,10995.847060646078
7248,8300.0,9781.205675484807
3290,21300.0,25088.325578748227
1642,13300.0,13191.280855040664
7662,2500.0,6861.111958683027
4139,11100.0,9624.368524024863
3319,21300.0,23466.219006498126
7044,6500.0,8113.584192498237
2088,18000.0,12435.311763999467
8354,34700.0,23608.996183157833
7846,32300.0,23176.578224424924
6660,9300.0,12147.471716060876
6423,13400.0,10797.514103301139
2930,3100.0,6668.345347501422
2751,2500.0,6557.266458454167
93,9700.0,8926.405562643455
8803,11900.0,13733.302346706958
2664,12600.0,11987.52122826998
8284,24200.0,29489.94413023567
5422,15600.0,10187.315167216088
6214,13300.0,10011.45886318477
1578,6200.0,5279.604964027119
6247,5200.0,4434.856162157848
6773,11600.0,7315.161742033771
4453,14900.0,11412.078070873678
1180,5300.0,9215.82286813946
1513,12200.0,11845.185705887292
2232,4400.0,8100.99888990856
1162,8000.0,8990.63950454173
4871,2500.0,6471.412826961531
7689,5800.0,8154.125874035543
5950,8500.0,6419.192208458627
5991,6600.0,5460.648413390252
3404,11700.0,7991.23343316837
4901,8600.0,6129.403096899341
9411,7600.0,7225.032480851263
7685,11500.0,11116.336276056616
4076,9500.0,9997.953854199259
5694,8400.0,10940.030547832237
1616,12100.0,8856.706848416517
8439,5900.0,8007.762270550212
567,13300.0,12879.223788864945
5983,10600.0,13244.676308163178
5155,13200.0,12079.672920601273
8615,11300.0,9334.16311952279
2191,7200.0,11116.500516796632
5920,12200.0,11813.127609105977
7161,26000.0,26599.149957168767
107,8100.0,9242.639237832991
2055,8100.0,13564.798248744153
970,7300.0,8722.837005727424
2766,19100.0,13336.990636747307
3767,10400.0,13520.810256319064
6436,9200.0,10011.45886318477
9351,2800.0,8056.926270396698
1446,28000.0,24988.36312131238
4194,8500.0,10730.94303347251
6113,9000.0,7665.993124118604
8108,8800.0,9181.57420716223
4157,9100.0,7165.679053952731
582,9100.0,11403.706337399737
8015,4300.0,8299.691628990242
2447,26500.0,24797.667474505288
33,13200.0,9177.983822716556
4807,8500.0,7959.089936800942
733,5100.0,4422.802576363614
2127,8000.0,11188.881328264426
330,10400.0,12516.374346977316
4174,9100.0,7319.702303400129
2213,2500.0,11620.861086172798
4064,7500.0,10544.767762677617
333,4500.0,7835.927240799281
4047,5100.0,8924.765467503403
4317,6500.0,7250.258939906119
3787,16100.0,13903.958849450317
7293,7100.0,6835.037455266835
5067,4500.0,7160.098767479611
4687,16000.0,12393.191782733542
7837,8100.0,11442.384099534242
1277,10000.0,8333.199578680878
500,15200.0,10285.268157318882
2109,11500.0,26224.13141417933
4694,24500.0,26764.15830955385
3149,9500.0,8825.931340756064
95,13000.0,11235.050674085192
6343,11500.0,10234.419962039925
1670,8000.0,8095.242716739462
5013,4900.0,10274.105685765096
248,9600.0,4996.060391006533
3095,10700.0,7517.229934293949
8736,7400.0,7164.889805233693
8888,2500.0,8477.713986143197
2777,7400.0,6722.337922306136
908,12900.0,7967.490823148807
3879,13100.0,12394.621369528724
4404,11500.0,11654.715891708645
2755,7900.0,8984.007873226295
8813,8300.0,8388.832979049323
4355,7900.0,5619.068099638463
683,4100.0,3991.689946519614
1406,10300.0,10770.349389720433
5378,14700.0,12209.970928079749
7618,43200.0,26988.733280556466
3383,12700.0,24944.645709763714
1156,12400.0,9502.3434127116
2614,10600.0,10848.197304957524
6152,14900.0,11228.018517816106
6315,5800.0,5641.5121673230715
1671,10400.0,11291.982003065199
4347,7100.0,5686.921858042481
764,8600.0,10053.517188248661
6205,7700.0,10179.585784664687
8339,12100.0,13659.311736940628
144,6200.0,7573.010764009168
3989,3800.0,5173.267312003905
19,11300.0,12158.781130061569
4824,8500.0,8796.530938443255
6217,12800.0,9489.96522538658
3165,10100.0,10344.473106279722
